ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
Decision Tree,0.9122807017543859,0.9146825396825397,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.8174119974927639
kNN,0.9736842105263158,0.9884259259259259,0.96,1.0,0.9795918367346939,0.9441549509633318
Naive Bayes,0.9298245614035088,0.9867724867724867,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8492063492063492
Random Forest (Ensemble),0.9473684210526315,0.9937169312169313,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8869047619047619
